id,code,name,user_type_id/id,chart_template_id/id,reconcile,group_id/id
account_account_al_ain_palace_0,10,Freehold Property,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_1
,,,,,,
account_account_al_ain_palace_1,11,Leasehold Property,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_2
,,,,,,
account_account_al_ain_palace_2,12,Land & Building - Al Kawakib Villa,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub3_2
,,,,,,
account_account_al_ain_palace_3,30,Office Equipment,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_3
account_account_al_ain_palace_4,31,Office Equipment Depreciation,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_3
account_account_al_ain_palace_5,40,Furniture and Fixtures,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_3
account_account_al_ain_palace_6,41,Furniture/Fixture Depreciation,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_3
account_account_al_ain_palace_7,20,Plant and Machinery,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_4
account_account_al_ain_palace_8,21,Plant/Machinery Depreciation,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_4
,,,,,,
account_account_al_ain_palace_9,50,Motor Vehicles,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_6
account_account_al_ain_palace_10,51,Motor Vehicles Depreciation,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_6
,,,,,,
account_account_al_ain_palace_11,1200,Union National Bank - A/C - 012197718887,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub3_3
account_account_al_ain_palace_12,1201,Union National Bank - A/C - 012197718480,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub3_3
account_account_al_ain_palace_13,1202,Union National Bank - A/C - 012197718289,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub3_3
account_account_al_ain_palace_14,1204,First Abu Dhabi Bank A/C # 6201627118,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub3_3
account_account_al_ain_palace_15,1205,First Abu Dhabi Bank A/C # 6202104038,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub3_3
account_account_al_ain_palace_16,1250,Credit Card Receipts,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub3_3
,,,,,,
account_account_al_ain_palace_17,1230,Petty Cash,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub3_4
account_account_al_ain_palace_18,1231,Petty Cash - W/Shop & Remah Farm,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub3_4
account_account_al_ain_palace_19,1232,Petty Cash - Visa Renewal,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub3_4
account_account_al_ain_palace_20,1240,Petty Cash - H.H. Expenses,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub3_4
,,,,,,
account_account_al_ain_palace_21,1100,Debtors Control Account,account.data_account_type_receivable,account_arabic_coa_al_ain_palace,True,sbk_group.account_group_sub2_11
account_account_al_ain_palace_22,2200,Sales Tax ( Output) Control Account,account.data_account_type_receivable,account_arabic_coa_al_ain_palace,True,sbk_group.account_group_sub2_11
account_account_al_ain_palace_23,1101,Family Receivable,account.data_account_type_receivable,account_arabic_coa_al_ain_palace,True,sbk_group.account_group_sub2_12
,,,,,,
account_account_al_ain_palace_24,1001,Stock,account.data_account_type_current_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_15
account_account_al_ain_palace_25,1002,Work in Progress,account.data_account_type_current_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_15
account_account_al_ain_palace_26,1003,Finished Goods,account.data_account_type_current_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_15
account_account_al_ain_palace_27,2300,Employee Loans,account.data_account_type_current_assets,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_16
,,,,,,
account_account_al_ain_palace_28,2230,Gratuity Advance,account.data_account_type_current_assets,account_arabic_coa_al_ain_palace,,sbk_group.account_group_sub2_17
,,,,,,
account_account_al_ain_palace_29,1208,SBK - Abu Dhabi Palace,account.data_account_type_non_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_19
account_account_al_ain_palace_30,1209,SBK - Dubai Office & Palace,account.data_account_type_non_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_19
account_account_al_ain_palace_31,1210,Transfer From Abu Dhabi - NBAD H.O A/C,account.data_account_type_non_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_19
account_account_al_ain_palace_32,1211,PREA - Pvt.Real Estate - Abu Dhabi,account.data_account_type_non_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_19
account_account_al_ain_palace_33,1212,Salary Transfer A/C - Abu Dhabi,account.data_account_type_non_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_19
account_account_al_ain_palace_34,1213,Fund Transfer Abu Dhabi - Feed,account.data_account_type_non_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_19
,,,,,,
account_account_al_ain_palace_35,2100,Creditors Control Account,account.data_account_type_payable,account_arabic_coa_al_ain_palace,True,sbk_group.account_group_sub2_20
account_account_al_ain_palace_36,2201,Purchase Tax ( Input) Control Account,account.data_account_type_payable,account_arabic_coa_al_ain_palace,True,sbk_group.account_group_sub2_20
account_account_al_ain_palace_37,2111,Family Payables,account.data_account_type_payable,account_arabic_coa_al_ain_palace,True,sbk_group.account_group_sub3_5
,,,,,,
account_account_al_ain_palace_38,1102,Commercial Villa - Witholding,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_22
account_account_al_ain_palace_39,2109,Accruals,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_22
account_account_al_ain_palace_40,2202,VAT Liability,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_22
,,,,,,
account_account_al_ain_palace_41,3111,Leave Salary,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_24
account_account_al_ain_palace_42,3112,Salary Payable,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_24
account_account_al_ain_palace_43,3113,Gratuity,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_24
,,,,,,
account_account_al_ain_palace_44,4000,Cash Sales - Dates Trees,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_45,4001,Cash Sales - Sheep's,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_46,4002,Cash Sales - Coconut Trees,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_47,4003,Cash Sales Vegetables,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_48,4004,Dates Sales - Ramah Farm (ID-12315785),account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_49,4005,Dates Sales - Al Maqam & Liwa Farm (ID- 12315786),account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_50,4006,Dates Sales - Al Wadi Farm (ID-12315787),account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_51,4007,Sheep's Wool Sales,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_52,4008,Birds Sales,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_53,4009,Sales Returned,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_54,4011,Chicken Sales,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_55,4012,Deer / Camel Sales,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_56,4013,Chicken Eggs Sales,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_57,4014,Quail ( Birds) Sales,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_58,4100,Dates Sales deduction 30% in 2007,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
account_account_al_ain_palace_59,4101,Sales Type E,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_27
,,,,,,
account_account_al_ain_palace_60,4905,Rent Income - Villa Sarooj,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_23
account_account_al_ain_palace_61,4904,Rent Income - Al Wadi Chicken Farm,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_24
,,,,,,
account_account_al_ain_palace_62,4200,Sales of Assets,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_33
account_account_al_ain_palace_63,4201,Other sales (Used Car / Scrap Items),account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_33
,,,,,,
account_account_al_ain_palace_64,4906,Interest Income,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_25
,,,,,,
account_account_al_ain_palace_65,4900,Miscellaneous Income,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_36
account_account_al_ain_palace_66,4901,Royalties Received,account.data_account_type_revenue,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_36
,,,,,,
account_account_al_ain_palace_67,7000,Gross Wages,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_68,7001,Directors Salaries,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_69,7002,Directors Remuneration,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_70,7003,Staff Salaries,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_71,7004,Leave Salary,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_72,7005,Wages & Over Time Expenses,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_73,7006,Gratuity Expenses,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_74,7007,Air Ticket - Staff,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_75,7008,Recruitment Expenses,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_76,7009,Incentive for Dates Supply,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_77,7600,Emigration Fees,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_78,8201,Emirates ID & Medical Expenses,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
account_account_al_ain_palace_79,8211,Health Insurance Expenses,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_37
,,,,,,
account_account_al_ain_palace_80,5001,Materials Imported,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_81,6900,Dismantiling & Refixing - Machine,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_82,7203,Purchase Building Materials (New Building),account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_83,7204,Purchase Electrical Items,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_84,7208,Purchase - A/C Units,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_85,7209,Purchase - Prefabricated Buildings,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_86,7305,Repairs & Maintenance - Building,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_87,7306,Repairs & Maintenance - Electrical Items,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_88,7307,Repairs & Servicing - Machnary Items,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_89,7310,Repairs & Maintenance A/C Compressor,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_90,7312,Repairs & Maintenance - Swimming Pool,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_91,7701,Office Machine Maintenance,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
account_account_al_ain_palace_92,8214,New Store - Bida Bint Saud,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_38
,,,,,,
account_account_al_ain_palace_93,7200,Water & Electricity,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_40
account_account_al_ain_palace_94,7201,Gas,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_40
,,,,,,
account_account_al_ain_palace_95,2220,Wages - Outside staff,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_96,5100,Carriage,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_97,5101,Import & Export - Customs Duty,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_98,6000,Productive Labour,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_99,6001,Cost of Sales Labour,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_100,6002,Sub-Contractors,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_101,6100,Sales Commissions,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_102,6200,Sales Promotions,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_103,6201,Advertising,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_104,7102,Commercial License - SBK Holding,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_105,7210,Purchase - Tools,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_106,7308,Medical Expenses - Staff,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_107,7500,Printing,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_108,7501,Postage and Carriage,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_109,7502,Telephone,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_110,7503,Municipality Charges,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_111,7504,Office Stationery,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_112,7505,"Office Supplies - Furniture, Computer & Printers",account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_113,7601,Audit and Accountancy Fees,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_114,7602,Consultancy Fees,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_115,7603,Professional Fees,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_116,7803,Sheep's Sales Expenses,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_117,7901,Bank Charges,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_118,7905,Credit Charges,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_119,7906,Exchange Rate Variance,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_120,8202,Staff Uniforms,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_121,8206,Staff - Food Expenses,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_122,8210,Staff - Welfare,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_123,8213,Al Maqam - Staff Room ( New),account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
account_account_al_ain_palace_124,7801,Cleaning,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_41
,,,,,,
account_account_al_ain_palace_125,6202,Gifts and Samples,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_42
account_account_al_ain_palace_126,7206,Purchase - Furniture & Curtains Items,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_42
account_account_al_ain_palace_127,7211,Purchase - House hold items,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_42
account_account_al_ain_palace_128,7403,Entertainment,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_42
account_account_al_ain_palace_129,7404,Overseas Entertainment,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_42
account_account_al_ain_palace_130,7802,Laundry,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_42
account_account_al_ain_palace_131,8200,Donations From H.H.Dr.Sheikh Sultan Bin Khalifa,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_42
account_account_al_ain_palace_132,8203,Packing Materials,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_42
account_account_al_ain_palace_133,8205,Refreshments,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_42
account_account_al_ain_palace_134,8208,Pantry Items - Expenses,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_42
,,,,,,
account_account_al_ain_palace_135,7900,Bank Interest Paid,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_43
account_account_al_ain_palace_136,7903,Loan Interest Paid,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_43
account_account_al_ain_palace_137,7904,H.P. Interest,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_43
,,,,,,
account_account_al_ain_palace_138,6003,Fertilizer & Medicines For Dates,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_45
account_account_al_ain_palace_139,6005,Agricultural Seeds,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_45
account_account_al_ain_palace_140,6006,Dates - Nabath,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_45
account_account_al_ain_palace_141,7202,Purchase - Fencing Materials ( Shabak),account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_45
account_account_al_ain_palace_142,7205,Purchase - Farm Equipment,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_45
account_account_al_ain_palace_143,7207,Purchase - Water Cooler,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_45
account_account_al_ain_palace_144,7302,Purchase Water Pumps,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_45
account_account_al_ain_palace_145,7304,Water Tank Purchase,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_45
account_account_al_ain_palace_146,7309,Repairs & Maintenance - Water Pump,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub1_45
account_account_al_ain_palace_147,7313,New Building - Al Kawakib,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_27
account_account_al_ain_palace_148,8217,Al Maqam New Building,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_27
,,,,,,
account_account_al_ain_palace_149,5006,New Land Expenses - Ramah,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_28
account_account_al_ain_palace_150,6004,Al Maqam - Green House Expenses,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_28
account_account_al_ain_palace_151,6007,Land & Soil Test - Kawakib,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_28
account_account_al_ain_palace_152,7104,Premises Insurance,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_28
account_account_al_ain_palace_153,7303,New Helipad - Expenses,account.data_account_type_expenses,account_arabic_coa_al_ain_palace,False,sbk_group.account_group_sub2_28
