id,code,name,user_type_id/id,chart_template_id/id,reconcile,group_id/id
account_template_al_ain_palace_1,10,Freehold Property,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,__export__.account_group_56_1356dafa
account_template_al_ain_palace_2,1001,Stock,account.data_account_type_current_assets,account_arabic_coa_al_ain_palace,False,__export__.account_group_7_816bdbc2
account_template_al_ain_palace_3,1002,Work in Progress,account.data_account_type_current_assets,account_arabic_coa_al_ain_palace,False,__export__.account_group_7_816bdbc2
account_template_al_ain_palace_4,1003,Finished Goods,account.data_account_type_current_assets,account_arabic_coa_al_ain_palace,False,__export__.account_group_7_816bdbc2
account_template_al_ain_palace_5,11,Leasehold Property,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,__export__.account_group_57_e1730b85
account_template_al_ain_palace_6,1100,Debtors Control Account,account.data_account_type_receivable,account_arabic_coa_al_ain_palace,True,sbk_group.Commercial_group_4
account_template_al_ain_palace_7,1101,Sundry Debtors,account.data_account_type_receivable,account_arabic_coa_al_ain_palace,True,sbk_group.Commercial_group_4
account_template_al_ain_palace_8,1102,Commercial Villa - With Holding,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,__export__.account_group_50_5bcd3349
account_template_al_ain_palace_9,1103,Prepayments,account.data_account_type_prepayments,account_arabic_coa_al_ain_palace,False,sbk_group.Commercial_group_6
account_template_al_ain_palace_10,12,Land & Building - Al Kawakib Villa,account.data_account_type_fixed_assets,account_arabic_coa_al_ain_palace,False,__export__.account_group_7_816bdbc2
account_template_al_ain_palace_11,1200,Union National Bank - A/C - 012197718887,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,__export__.account_group_10_86b624ec
account_template_al_ain_palace_12,1201,Union National Bank - A/C - 012197718480,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,__export__.account_group_10_86b624ec
account_template_al_ain_palace_13,1202,Union National Bank - A/C - 012197718289,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,__export__.account_group_10_86b624ec
account_template_al_ain_palace_14,1204,National Bank of Abu Dhabi A/C # 6201627118,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,__export__.account_group_10_86b624ec
account_template_al_ain_palace_15,1205,National Bank of Abu Dhabi # 6202104038,account.data_account_type_liquidity,account_arabic_coa_al_ain_palace,False,__export__.account_group_10_86b624ec
account_template_al_ain_palace_16,1208,SBK - Abu Dhabi Palace,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,
account_template_al_ain_palace_17,1209,SBK - Dubai Office & Palace,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,
account_template_al_ain_palace_18,1210,Transfer From Abu Dhabi - NBAD H.O A/C,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.Commercial_group_5
account_template_al_ain_palace_19,1211,PREA - Pvt.Real Estate - Abu Dhabi,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.Commercial_group_5
account_template_al_ain_palace_20,1212,Salary Transfer A/C - Abu Dhabi,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,__export__.account_group_47_6552b006
account_template_al_ain_palace_21,1213,Fund Transfer Abu Dhabi - Feed,account.data_account_type_current_liabilities,account_arabic_coa_al_ain_palace,False,sbk_group.Commercial_group_5
