id,code,name,group_id/id,user_type_id/id,chart_template_id/id,reconcile,currency_id/id
account_account_sbk_commercial_0,OA010010001,Office Equipments,,account.data_account_type_fixed_assets,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_1,OA010010002,Office Furnitures,,account.data_account_type_fixed_assets,account_arabic_coa_sbk_commercial,False,
,,,,,,,
account_account_sbk_commercial_2,OA010020001,Software Items,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
,,,,,,,
account_account_sbk_commercial_3,OA010030001,DPR - Office Equipments,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_4,OA010030002,DPR - Office Furnitures,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
,,,,,,,
account_account_sbk_commercial_5,OA010040001,DPR - Software Items,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
,,,,,,,
account_account_sbk_commercial_6,OA020010001,Leaders Insurance Brokers,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_7,OA020010002,Al Asyel Pastry,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_8,OA020010003,Laghalia Retail LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_9,OA020010004,Royal Falcon Security LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_10,OA020010005,Only One Beauty Saloon LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_11,OA020010006,Foodex International Trade LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_12,OA020010007,Asayel Media & Advertisement,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_13,OA020010008,Mina Al Fajer Real Estate LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
,,,,,,,
account_account_sbk_commercial_14,CA010010001,D - Other Inventories,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
,,,,,,,
account_account_sbk_commercial_15,CA010020001,ND - Other Inventories,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
,,,,,,,
account_account_sbk_commercial_16,CA02001,Trade Receivables,,account.data_account_type_receivable,account_arabic_coa_sbk_commercial,True,
,,,,,,,
account_account_sbk_commercial_17,CA020020001,Tamer Adel,,account.data_account_type_prepayments,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_18,CA020020002,Baher Oweida,,account.data_account_type_prepayments,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_19,CA020020003,Abdulla Yaqoob,,account.data_account_type_prepayments,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_20,CA020020004,Staff Loans,,account.data_account_type_prepayments,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_21,CA020020005,Other Advances,,account.data_account_type_prepayments,account_arabic_coa_sbk_commercial,False,
,,,,,,,
account_account_sbk_commercial_22,CA020030001,Prepaid Rent,,account.data_account_type_prepayments,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_23,CA020030002,Prepaid Expenses,,account.data_account_type_prepayments,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_24,CA020030003,Other Prepaids,,account.data_account_type_prepayments,account_arabic_coa_sbk_commercial,False,
,,,,,,,
account_account_sbk_commercial_25,CA020040001,Security Deposits,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_26,CA020040002,Utility Deposits,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
account_account_sbk_commercial_27,CA020040003,Other Deposits,,account.data_account_type_current_assets,account_arabic_coa_sbk_commercial,False,
,,,,,,,
