id,code,name,group_id/id,user_type_id/id,chart_template_id/id,reconcile,currency_id/id
account_account_sbk_emalab_0,1110101,LAND PREPARATION,sbk_group.account_group_sub3_9,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_1,1110102,FENCING & PAVINGS,sbk_group.account_group_sub1_8,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_2,1110103,FOUNDATION WORKS,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_3,1110104,ADMIN. BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_4,1110105,GUARD ROOM. BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_5,1110106,CONTROL ROOM. BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_6,1110107,LABORATORY BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_7,1110108,MAINTENANCE BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_8,1110109,SUBSTATION  BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_9,1110110,PROCESS STEEL STRUCTURES,sbk_group.account_group_sub1_8,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_10,1110201,ACC. DEP. LAND PREPARATION,sbk_group.account_group_sub3_9,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_11,1110202,ACC. DEP FENCING & PAVING,sbk_group.account_group_sub1_8,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_12,1110203,ACC. DEP FOUNDATION WORKS,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_13,1110204,ACC. DEP. ADMIN. BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_14,1110205,ACC. DEP.GUARD ROOM. BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_15,1110206,ACC. DEP.  LABORATORY BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_16,1110207,ACC. DEP. CONTROL ROOM. BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_17,1110208,ACC. DEP.  MAINTENANCE BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_18,1110209,ACC. DEP.  SUBSTATION  BUILDING,sbk_group.account_group_sub3_2,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_19,1110210,ACC. DEP. PROCESS STEEL STRUCTURES,sbk_group.account_group_sub1_8,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_20,1120101,OFFICE FURNITURE,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_21,1120102,FLAT FURNITURE,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_22,1120103,OFFICE EQUIPMENTS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_23,1120104,OTHER ASSETS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_24,1120201,ACC. DEP OFFICE FURNITURE,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_25,1120202,ACC. DEP FLAT FURNITURE,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_26,1120203,ACC. DEP. OFFICE EQUIPMENTS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_27,1120204,ACC. DEP OTHER ASSETS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_28,1130101,"PACOL, DEFINE UNIT",sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_29,1130102,PEP UNIT,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_30,1130103,DETAL UNIT,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_31,1130104,STEAM GENERATORS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_32,1130105,AIR COMPRESSORS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_33,1130106,COOLING TOWERS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_34,1130107,FLARE SYSTEMS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_35,1130108,HOT OIL UNIT,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_36,1130109,NITROGEN GENERATION UNIT,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_37,1130110,LOADING ARMS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_38,1130111,OTHER UTILITIES UNIT,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_39,1130112,LPG UNIT,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_40,1130113,LABORATORY EQUIPMENTS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_41,1130114,FIRE & SAFETY,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_42,1130115,WASTE WATER PLANT,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_43,1130116,PROCESS VALVES,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_44,1130117,COMPUTER SYSTEMS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_45,1130118,FIELD INSTRUMENTS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_46,1130119,TANK FARM VALVES,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_47,1130120,BENZENE TANK,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_48,1130121,N- PARRAFIN TANK,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_49,1130122,DIESEL TANK,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_50,1130123,SPEC. TANK,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_51,1130124,RAW WATER PROCESS TANK,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_52,1130125,FIRE FIGHTING WATER TANK,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_53,1130126,LPG TANK,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_54,1130127,N. PENTANE STORAGE,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_55,1130128,HIDROGEN STORAGE,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_56,1130129,CLOSED DRAIN STORAGE,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_57,1130130,LOADING ARM DRAIN BOOT,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_58,1130131,LAB STORAGE TANKS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_59,1130132,HAB STORAGE TANKS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
account_account_sbk_emalab_60,1130133,LAB DAILY TANKS,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_emalab_dubai,FALSE,
