id,code,name,group_id/id,user_type_id/id,chart_template_id/id,reconcile,currency_id/id
account_account_sbk_holding_0,OA010010001,Office Equipments,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_1,OA010010002,Office Furnitures,sbk_group.account_group_sub1_3,account.data_account_type_fixed_assets,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_2,OA010020001,Software Items,sbk_group.account_group_sub1_3,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_3,OA010030001,DPR - Office Equipments,sbk_group.account_group_sub1_3,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_4,OA010030002,DPR - Office Furnitures,sbk_group.account_group_sub1_3,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_5,OA010040001,DPR - Software Items,sbk_group.account_group_sub1_3,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_6,OA020010001,Leaders Insurance Brokers,sbk_group.account_group_sub1_16,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_7,OA020010002,Al Asyel Pastry,sbk_group.account_group_sub1_16,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_8,OA020010003,Laghalia Retail LLC,sbk_group.account_group_sub1_16,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_9,OA020010004,Royal Falcon Security LLC,sbk_group.account_group_sub1_16,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_10,OA020010005,Only One Beauty Saloon LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_11,OA020010006,Foodex International Trade LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_12,OA020010007,Asayel Media & Advertisement,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_13,OA020010008,Mina Al Fajer Real Estate LLC,sbk_group.account_group_sub1_12,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_14,CA010010001,D - Other Inventories,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_15,CA010020001,ND - Other Inventories,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_16,CA02001,Trade Receivables,,account.data_account_type_receivable,account_arabic_coa_sbk_holding,True,
,,,,,,,
,,,,,,,
account_account_sbk_holding_23,CA020020001,Tamer Adel,,account.data_account_type_prepayments,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_24,CA020020002,Baher Oweida,,account.data_account_type_prepayments,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_25,CA020020003,Abdulla Yaqoob,sbk_group.account_group_sub2_17,account.data_account_type_prepayments,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_26,CA020020004,Staff Loans,,account.data_account_type_prepayments,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_27,CA020020005,Other Advances,sbk_group.account_group_sub2_17,account.data_account_type_prepayments,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_28,CA020030001,Prepaid Rent,,account.data_account_type_prepayments,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_29,CA020030002,Prepaid Expenses,,account.data_account_type_prepayments,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_30,CA020030003,Other Prepaids,,account.data_account_type_prepayments,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_31,CA020040001,Security Deposits,sbk_group.account_group_sub2_18,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_32,CA020040002,Utility Deposits,sbk_group.account_group_sub2_18,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_33,CA020040003,Other Deposits,sbk_group.account_group_sub2_18,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_34,CA020050001,Staff Loans,sbk_group.account_group_sub2_16,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_35,CA020050002,Other Loans,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_36,CA02006,Other Receivables,,account.data_account_type_receivable,account_arabic_coa_sbk_holding,True,
,,,,,,,
account_account_sbk_holding_51,CA020070001,Post Dated Cheques in Hand,sbk_group.account_group_sub2_15,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_52,CA030010001,CA - SBK Holding LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_53,CA030010002,CA - SBK Holding LLC (Abu Dhabi Branch),,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_54,CA030010003,CA - SBK Commercial Business Group LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_55,CA030010004,CA - SBK Retail Business Group LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_56,CA030010005,CA - SBK Hospitality Business Group LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_57,CA030010006,CA - SBK Spectrum Reality Group LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_58,CA030010007,CA - SBK Petrochemicals Group LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_59,CA030010008,CA - SBK Aviation Group LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_60,CA030010009,CA - SBK Medical and Health Services LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_61,CA030010010,CA - SBK Industrial Group LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_62,CA030010011,CA - SBK Knowledge Horizon Group LLC,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
,,,,,,,
account_account_sbk_holding_63,CA030020001,CA - SBK Business Holding Limited,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_64,CA030020002,CA - SBK Aman Holding Limited,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_65,CA030020003,CA - Aman Services Limited,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_66,CA030020004,CA - SBK Eurasia Limited,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
account_account_sbk_holding_67,CA030020005,CA - SBK Taqa,,account.data_account_type_current_assets,account_arabic_coa_sbk_holding,False,
