id,code,name,group_id/id,user_type_id/id,chart_template_id/id,reconcile,currency_id/id
,,,,,,,
account_sbk_marina_al_bateen_0,1001,Capital A/c,sbk_group.account_group_sub1_26,account.data_account_type_equity,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_1,2001,Return Amount to Pvt. Ofc,sbk_group.account_group_sub2_22,account.data_account_type_current_liabilities,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_2,2002,Sundry Creditors,sbk_group.account_group_sub2_20,account.data_account_type_payable,coa_sbk_marina_al_bateen,True,
account_sbk_marina_al_bateen_3,3001,Loans & Advances (Asset),sbk_group.account_group_sub1_18,account.data_account_type_current_assets,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_4,3002,Bank Accounts,sbk_group.account_group_sub3_14,account.data_account_type_liquidity,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_5,4001,Other Income,sbk_group.account_group_sub1_36,account.data_account_type_other_income,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_6,4002,Rent for Parking,sbk_group.account_group_sub1_36,account.data_account_type_revenue,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_7,5001,Bank Fee,sbk_group.account_group_sub2_37,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_8,5002,Boat Service,sbk_group.account_group_sub1_51,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_9,5003,Electricity & Water Charge,sbk_group.account_group_sub1_40,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_10,5004,End of Service,sbk_group.account_group_sub1_37,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_11,5005,Housing Allowances,sbk_group.account_group_sub1_37,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_12,5006,Insurance for Boat,sbk_group.account_group_sub1_51,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_13,5007,Maintanance Exps.,sbk_group.account_group_sub1_38,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_14,5008,PETROL & DIESEL EXPENSES,sbk_group.account_group_sub1_51,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_15,5009,Petty Cash Exps.,sbk_group.account_group_main_8,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_16,5010,Salary-Marina Al Bateen,sbk_group.account_group_sub1_37,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_17,5011,STAFF TICKET,sbk_group.account_group_main_8,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_18,5012,Trade Licence Renewal,sbk_group.account_group_main_8,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_19,5013,VAT FEES,sbk_group.account_group_sub1_53,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_20,5014,Vehicle Dept. Exps.,sbk_group.account_group_sub1_51,account.data_account_type_expenses,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_21,9999,Profit & Loss A/c,sbk_group.account_group_sub1_25,account.data_unaffected_earnings,coa_sbk_marina_al_bateen,False,
account_sbk_marina_al_bateen_22,1002,Sundry Debtors,sbk_group.account_group_sub2_11,account.data_account_type_receivable,coa_sbk_marina_al_bateen,True,
