id,code,name,group_id/id,user_type_id/id,chart_template_id/id,reconcile,currency_id/id
account_account_sbk_mina_al_fajer_0,1000,Sales ,sbk_group.account_group_main_7,account.data_account_type_revenue,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_1,1100,Lease ,sbk_group.account_group_main_7,account.data_account_type_revenue,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_2,1200,Hotel Monthly Income ,sbk_group.account_group_main_7,account.data_account_type_revenue,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_3,1400,Other Income,sbk_group.account_group_sub1_36,account.data_account_type_other_income,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_4,1401,Service Charges,sbk_group.account_group_sub1_36,account.data_account_type_other_income,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_5,1402,Rental Income,sbk_group.account_group_main_7,account.data_account_type_revenue,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_6,1403,Income  Marina Berthing,sbk_group.account_group_main_7,account.data_account_type_revenue,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_7,1410,Profit on Exchange ,sbk_group.account_group_sub1_36,account.data_account_type_other_income,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_8,1415,Profit on Asset Disposal,sbk_group.account_group_sub1_36,account.data_account_type_other_income,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_9,1420,Interest Income,sbk_group.account_group_sub1_36,account.data_account_type_other_income,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_10,1430,Transfer Fees,sbk_group.account_group_sub1_36,account.data_account_type_other_income,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_11,2000,Land Cost,sbk_group.account_group_sub2_28,account.data_account_type_expenses,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_12,2002,Direct Cost,sbk_group.account_group_sub1_54,account.data_account_type_expenses,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_13,2004,Indirect Cost,sbk_group.account_group_sub1_53,account.data_account_type_expenses,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_14,2006,Marine Works,sbk_group.account_group_sub1_53,account.data_account_type_expenses,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_15,2008,Consultant Fees,sbk_group.account_group_sub1_53,account.data_account_type_expenses,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_16,2010,Project Manager Fees,sbk_group.account_group_sub1_53,account.data_account_type_expenses,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_17,2012,Excavation Works,sbk_group.account_group_sub1_53,account.data_account_type_expenses,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_18,2014,Crushing Works,sbk_group.account_group_sub1_53,account.data_account_type_expenses,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_19,2016,Retaining Walls,sbk_group.account_group_sub1_53,account.data_account_type_expenses,account_arabic_coa_sbk_mina_al_fajer,FALSE,
account_account_sbk_mina_al_fajer_20,2018,Piling Works,sbk_group.account_group_sub1_53,account.data_account_type_expenses,account_arabic_coa_sbk_mina_al_fajer,FALSE,
