id,code,name,group_id/id,user_type_id/id,chart_template_id/id,reconcile,currency_id/id
l10n_sbk_real_estate.account_account_sbk_real_estate_0,1101001,Vehicles & Caravans,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_1,1101002,Accum.Vehicles & Caravans,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_2,1101003,Furniture & fixtures,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_3,1101004,Accum.Furniture & Office Equipments,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_4,1101005,Tools & Machinery,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_5,1101006,Accum.Tools & Machinery,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_6,1101007,Software,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_7,1101008,Accum.Software & License,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_8,1101009,Computers & printers,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_9,1101010,Accum. Computers & printers,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_10,1101011,Building,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_11,1101012,Office Equipments,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_12,1104001,Development Properties ,sbk_group.account_group_main_1,account.data_account_type_fixed_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_13,1200001,Bank Guarantee - Visa,sbk_group.account_group_sub1_17,account.data_account_type_current_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_14,1200002,Security Deposit,sbk_group.account_group_sub1_17,account.data_account_type_current_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_15,1200003,Intermediate Account,sbk_group.account_group_sub1_17,account.data_account_type_current_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_16,1201001,Work in Progress,sbk_group.account_group_sub1_17,account.data_account_type_current_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_17,1201002,Other Cost,sbk_group.account_group_sub1_53,account.data_account_type_expenses,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_18,1203001,Contra Account,sbk_group.account_group_sub1_17,account.data_account_type_current_assets,account_arabic_coa_sbk_real_estate,False,
l10n_sbk_real_estate.account_account_sbk_real_estate_19,1204001,Trade Receivables - Leasing,sbk_group.account_group_sub2_11,account.data_account_type_receivable,account_arabic_coa_sbk_real_estate,True,
l10n_sbk_real_estate.account_account_sbk_real_estate_20,1204002,Staff Receivables,sbk_group.account_group_sub2_11,account.data_account_type_receivable,account_arabic_coa_sbk_real_estate,True,
l10n_sbk_real_estate.account_account_sbk_real_estate_21,1204003,Retention Receivables,sbk_group.account_group_sub2_11,account.data_account_type_receivable,account_arabic_coa_sbk_real_estate,True,
